Date,URL,Title,Text
01/05/2021:,https://archives.hud.gov//news/2021/pr21-001.cfm,HUD Announces $10 Million in Capacity Building Grants for Rural America,"WASHINGTON - The U.S. Department of Housing and Urban Development (HUD) today awarded $10 million in capacity-building grants to five national non-profit organizations which will, in turn, fund rural housing development organizations, Community Development Corporations (CDCs), Community Housing Development Organizations (CHDOs), local governments, and Indian tribes (eligible beneficiaries) to carry out affordable housing and community development activities in rural areas for hard-working, low-income families and individuals.
Funded through HUD's Rural Capacity-Building for Affordable Housing and Community Development grant (RCB), these national intermediary organizations will support local eligible beneficiaries to spur affordable housing activities and community development in some of America's hardest hit rural communities. These national organizations will provide training, technical assistance, and financial support to these local beneficiaries, helping them serve hundreds of low-income or low- and moderate-income families and persons in rural areas.
""The RCB program demonstrates the importance of public and private partnerships to help our rural communities across America meet critical housing and community development needs,"" said HUD Secretary Ben Carson.
""Whether developing important organizational infrastructure, stimulating job creation, or strengthening small businesses, these grants help inspire public and private investment in rural areas that need resources to thrive. HUD is pleased to empower rural communities struggling to address economic uncertainty and unprecedented challenges,"" said HUD Principal Deputy Assistant Secretary for Community Planning and Development John Gibbs.
The following organizations will receive RCB funds (see individual descriptions below):
Additional Information on HUD's Fiscal Year 2019 - 2020 RCB Grantees
Housing Assistance Council (HAC) will receive an RCB grant award in the amount of $2,700,00 and will leverage $540,000. HAC is a national non-profit housing organization that will significantly impact the capacity of 65 eligible rural organizations to undertake affordable housing and community development activities in disadvantaged and other target communities in at least eight HUD Regions.
Rebuilding Together, Incorporated will receive an RCB grant award in the amount of $2,400,000 and will leverage $352,080. Rebuilding Together, Inc. is a national non-profit organization that provides technical assistance, training, and financial assistance to build the capacity of a network of 126 housing development organizations providing critical housing preservation, home modification, and community development services.
Minnesota Housing Partnership (MHP) will receive an RCB grant award in the amount of $2,400,000 and will leverage $240,000. MHP supports, leads, and collaborates with a diversity of partners to stimulate innovation and drive positive impact in affordable housing and community development in rural communities nationwide. With this grant, MHP will deliver technical assistance and capacity-building initiatives to support rural communities in need.
Rural Community Assistance Corporation (RCAC) will receive an RCB grant award in the amount of $1,250,000 and will leverage $250,000. RCAC is a nonprofit community development intermediary that has served rural communities in 13 Western states - Alaska, Arizona, California, Colorado, Hawaii, Idaho, Montana, New Mexico, Nevada, Oregon, Utah, Washington and Wyoming - and the western Pacific territories for over 40 years. Affordable housing, economic development, and job creation activities are directed toward low-income communities outside urban areas, and targeted populations include Native American communities, Colonias and agricultural workers.
Technical Assistance Collaborative (TAC) will receive an RCB grant award in the amount of $1,250,000 and will leverage $133,375. TAC is a national nonprofit organization with experts in affordable housing development; permanent supportive housing (PSH) planning and implementation; and supportive services design and financing. TAC has worked with housing providers in every state and hundreds of rural communities to help vulnerable people achieve and maintain permanent housing and self-sufficiency."
01/14/2021:,https://archives.hud.gov//news/2021/pr21-002.cfm,HUD Secretary Ben Carson Introduces Find Shelter Tool to Help Community Members Locate Service Providers and Local Resources,"WASHINGTON - U.S. Department of Housing and Urban Development (HUD) Secretary Ben Carson today introduced the Find Shelter tool, a new resource developed by the Department to help individuals and families in need to locate nearby resources. Specifically, users can search for facilities that provide shelter, clothing, health clinics, and food pantries to those in need. Find Shelter provides mapping and contact information for these service providers and the site is optimized for mobile use.
""The Find Shelter website is another tool with which we can relieve homelessness and provide people with the resources they need,"" said Secretary Ben Carson. ""Particularly as we continue to recover from the coronavirus pandemic, it’s important to make sure individuals and families know where to go to get help.""
The tool is designed to help community members serve their neighbors in need. Particularly during the coronavirus pandemic there has been a surge in Neighbors Helping Neighbors across the country, which has been an important force in serving vulnerable Americans. The Find Shelter tool will only bolster this effort get people the help they need. The site includes downloadable, printable posters and palm cards that can be displayed near public computers for individuals and families looking to locate resources.
Research from HUD indicates that in 2019, most of the country experienced a combined decrease in homelessness, with the exception of significant increases in unsheltered and chronic homelessness on the West Coast, particularly in California and Oregon, offset those nationwide decreases, causing an overall increase in homelessness of 2.7 percent. HUD's 2019 Annual Homeless Assessment Report to Congress found that 567,715 persons experienced homelessness on a single night in 2019, an increase of 2.7 percent since 2018, but a nearly 11 percent decline since 2010. The number of families with children experiencing homelessness declined 5 percent from 2018 and more than 32 percent since 2010. Local communities also reported a continuing trend in reducing veteran homelessness across the country-the number of veterans experiencing homelessness fell 2.1 percent since January 2018 and by 50 percent since 2010."
01/14/2021:,https://archives.hud.gov//news/2021/pr21-003.cfm,HUD Reaches Agreement with Oklahoma Housing Providers for Alleged Religious Discrimination,"WASHINGTON - U.S. Department of Housing and Urban Development (HUD) Secretary Ben Carson announced today that the Department has reached a Conciliation Agreement with Vintage Housing, Inc., and Wilhoit Properties, Inc, the owner and manager of Cardinal Heights and Carriage Crossing senior apartments in Collinsville and Coweta, Oklahoma, resolving allegations that they removed bibles and christian reading material from the properties' common areas. Under the settlement, the housing providers agreed, among other things, to develop new policies regarding the display of religious materials for use in all the residences they manage or own and provide fair housing training for employees, with a portion dedicated to religious discrimination. Read the agreement.
The Fair Housing Act prohibits discrimination in housing and in housing-related services based on religion and other protected characteristics. The complaint, filed on behalf of Secretary Carson in October 2020, followed a letter to HUD from a resident at the Carriage Crossing apartment complex who was upset that the property's management demanded the removal of religious material from common spaces.
""The Trump Administration is committed to ensuring that housing providers do not discriminate on the basis of religion under the Fair Housing Act,"" said Secretary Carson. ""This settlement lets housing providers know that barring religious materials, while allowing secular materials, infringes upon the rights of the people, and HUD will not stand for discrimination against any group for practicing their religious traditions.""
Persons who believe they have experienced housing discrimination may file a complaint of discrimination by contacting HUD's Office of Fair Housing and Equal Opportunity at (800) 669-9777 or visiting How to File a Complaint on HUD's website. Materials and assistance are available for persons with limited English proficiency. Individuals who are deaf or hard of hearing may contact the Department using the Federal Relay Service at (800) 877-8339."
01/14/2021:,https://archives.hud.gov//news/2021/pr21-004.cfm,HUD Selects Thirty Public Housing Agencies to Join the Expansion of the Moving to Work (MTW) Demonstration Program,"WASHINGTON - Today, HUD announced the first thirty-one public housing agencies to join a small group of innovative agencies as part of the Moving to Work (MTW) demonstration program. Additionally, HUD is also inviting agencies interested in participating in this unique demonstration to submit applications for the third and fourth cohorts of the MTW Expansion. The selectees for the second cohort will be announced later this spring.
MTW is a demonstration program that enables public housing authorities to think outside the box by using their funding flexibly and developing creative solutions for serving vulnerable families in their communities. Through the expansion of the MTW demonstration, HUD will learn from MTW interventions in order to improve the delivery of federally assisted housing and promote self-sufficiency for low-income families across the nation.
MTW is key in moving away from a ""one-size-fits-all"" approach to affordable housing and allowing communities to effectively address the distinct issues they face. The locally tailored policies adopted by current and future MTW agencies will be a part of solving the challenges faced by all PHAs.
""At HUD, we believe that individuals know how to best govern their own lives. We have seen that giving PHAs flexibility to care for their vulnerable populations has led to excellent results for low-income families,"" said HUD Secretary Ben Carson. ""The MTW Expansion allows PHAs to tailor services to fit their communities' unique needs, improving upon the outdated 'one-size-fits-all' approach to affordable housing. At the same time, HUD will evaluate specific policy changes so we can apply ""what works"" to other agencies and benefit families across the nation.""
Through the thirty-one agencies selected in this initial cohort, HUD will evaluate the overall impact of MTW flexibilities on PHAs with less than 1,000 units. Selected PHAs represent communities from across the nation, including: Auburn, Alabama; Fayetteville, Arkansas; Pocatello, Idaho; Ruston, Louisiana; Ripley, Missouri; Neptune, NJ; Rosenberg, Texas. In their own words, selected PHAs will use MTW designation in order to: offer encouragement in the form of incentives to help families work toward self-sufficiency and homeownership; establish emergency or transitional services to the homeless or otherwise hard to house; leverage financial flexibility to adequately fund all programs; develop creative partnerships with public and private collaborators; address mental health impediments of assisted residents; remove barriers that discourage income increases; achieve the highest level of internal operating efficiency; and much more. For a full list of the selectees in this initial cohort, please visit www.hud.gov/mtw.
Through the PHAs that will be selected through their third and fourth cohorts through the notices that were published today, HUD will learn whether work requirements promote self-sufficiency or how incentives could encourage landlords to participate in HUD's Housing Choice Voucher program.
The third cohort of the MTW Expansion will test the impact of implementing a work requirement policy on both the agency and the residents it serves. PHAs may choose to implement a work requirement policy in the public housing and/or voucher programs. In the third cohort, HUD seeks to balance the goal of allowing applicant PHAs maximum flexibility to design a work requirement policy while still ensuring that the policies across the PHAs are similar enough to support rigorous evaluation.
The fourth cohort of the MTW Expansion will evaluate landlord incentives and their effect on landlord participation in the HCV program. PHAs in the fourth cohort of the MTW Expansion must implement at least two MTW landlord incentive activities from a provided list of MTW landlord incentive activities. HUD will select PHAs for the fourth cohort of the MTW Expansion using a lottery, thereby establishing two groups: a ""treatment group"" of PHAs that join the fourth cohort of the MTW Expansion and a ""control group"" of PHAs that do not join the fourth cohort of the MTW Expansion. An independent research team will compare outcomes for the PHAs that were selected to join the fourth cohort of the MTW Expansion and the PHAs that do not join the fourth cohort of the MTW Expansion.
MTW is a demonstration program for PHAs that provides them the opportunity to design and test innovative, locally designed strategies that use Federal dollars more efficiently, help residents find employment and become self-sufficient, and increase housing choices for low-income families. MTW allows PHAs exemptions from many existing public housing and voucher rules and provides funding flexibility with how they use their Federal funds. PHAs in the MTW demonstration have pioneered a number of innovative policy interventions that have been proven to be successful at the local level, and subsequently rolled out to the rest of the country's PHAs.
Currently there are 39 MTW PHAs throughout the nation. In 2015, Congress allowed HUD to expand the MTW demonstration program to 100 additional PHAs over a seven year period.
The 100 new MTW PHAs will be added in several cohorts. Each cohort will experiment with a certain affordable housing policy, and HUD will study that specific policy change to learn what successful MTW innovations should be applied to all PHAs across the nation. The MTW Research Advisory Committee recommended the following policy changes that HUD will evaluate: MTW flexibilities, rent reform, work requirements, and landlord incentives.
Interested agencies should think about the types of policies they would like to implement as part of the MTW demonstration program. Examples of policies that have been implemented by agencies can be found on the MTW website: www.hud.gov/mtw
More information on how to apply can be found on HUD's website at www.hud.gov/mtw or PIH Notice 2021-02 and PIH Notice 2021-03. or you may contact the MTW office at: MTW-info@hud.gov."
01/19/2021:,https://archives.hud.gov//news/2021/pr21-005.cfm,HUD Finalizes Key Step in Expanding Availability of Affordable Manufacturing Housing,"WASHINGTON - The U.S. Department of Housing and Urban Development published a final rule (www.federalregister.gov/documents/2021/01/12/2020-28227/manufactured-home-construction-and-safety-standards) on January 12, 2021 in the Federal Register which revises the federal Manufactured Home Construction and Safety Standards Act of 1974. The final rule represents the first substantive update to the Standards in almost a decade. The changes are designed to eliminate outdated regulatory barriers that have been an impediment to expanding the availability of this affordable housing type while protecting the safety of manufactured housing.
""This is another example of the sweeping changes this Administration has implemented to address the nation's affordable housing challenges,"" said HUD Secretary Ben Carson. ""By eliminating the unnecessary red-tape barriers for manufactured housing, we're paving the way for more American families to benefit from the financial stability of homeownership.""
""Secretary Carson has been a champion of safe and affordable manufactured housing since he arrived at HUD. It's thanks to his leadership and dedication that today we have removed so many of the impediments to supplying this affordable homeownership option for the nation's working families,"" said Assistant Secretary for Housing Dana Wade.
The final rule includes removing the requirement for manufacturers to submit approval for certain alternative construction features and adding requirements for carbon monoxide alarms in manufactured housing. In addition, the rule:
Modernizes code provisions and allows for more optimal use of manufactured housing in urban areas, including Opportunity Zones; Adds provisions for manufactured homes designed for structures desired by consumers, such as attached garages and carports; and Includes provisions for design of attached manufactured homes such as zero-lot-line, townhome style housing, which increases design flexibility, reduces regulatory burden and expands consumer choice.
• Modernizes code provisions and allows for more optimal use of manufactured housing in urban areas, including Opportunity Zones;
• Adds provisions for manufactured homes designed for structures desired by consumers, such as attached garages and carports; and
• Includes provisions for design of attached manufactured homes such as zero-lot-line, townhome style housing, which increases design flexibility, reduces regulatory burden and expands consumer choice."
01/19/2021:,https://archives.hud.gov//news/2021/pr21-006.cfm,Economic Growth Regulatory Relief and Consumer Protection Act: Implementation of National Standards for the Physical Inspection of Real Estate (NSPIRE),"WASHINGTON - Today the U.S. Department of Housing and Urban Development (HUD) issued a proposed rule for the National Standards for the Physical Inspection of Real Estate (NSPIRE). This new approach incorporates extensive stakeholder input to redesign the methods HUD uses to ensure properties are in a safe, decent, and sanitary condition.
Since taking office, Secretary Carson led extensive housing reforms, placing the health and safety of affordable housing residents as an essential HUD priority. He emphasized the need for these changes after seeing firsthand the public housing inspection process. ""Despite us learning more as a society about the consequences of health and housing, the way HUD evaluates housing quality has basically remained unchanged for over twenty years. NSPIRE brings much needed updates to our programs and provides consistency to the families we serve. Families in HUD programs shouldn't have to worry about the safety or healthiness of their home depending on the program that's providing the assistance,"" said HUD Secretary Ben Carson.
To establish this new inspection approach, HUD assembled a team of talented researchers, scientists, academics, inspectors, analysts, and HUD professionals with decades of affordable housing inspection experience. By drawing on this experience, NSPIRE, as implemented by the new rule, will significantly enhance HUD's ability to focus on affordable housing properties that are not meeting quality expectations.
NSPIRE's approach improves processes directly impacting U.S. assisted, and affordable housing resources to provide decent, safe, and habitable homes for millions of transitioning and low-income families. The NSPIRE Rule https://www.federalregister.gov/documents/2021/01/13/2021-00098/economic-growth-regulatory-relief-and-consumer-protection-act-implementation-of-national-standards strengthens HUD's affordable housing oversight. This includes the ability to identify substandard housing, streamline the current array of regulations, and reduce historically complex affordable housing procedures. The improvements demonstrated by the NSPIRE rule outline how HUD effectively evaluates housing across all HUD programs, ""having a singular set of standards allows us to have deeper insight into those conditions that impact families and the success of housing programs through defining common patterns and themes that might otherwise go undetected"" said HUD DAS David Vargas Real Estate Assessment Center (REAC).
Small and rural housing providers, for example, face unique challenges. As part of the overall set of regulatory changes being proposed in the NSPIRE rule, HUD would implement regulatory relief for small, rural housing providers to reduce unnecessary burdens and costs.
""Small and rural providers manage incredibly difficult processes, and this rule will allow them to see specific measurable changes to aid in improving effectiveness of inspections while reducing the operational burdens to manage these important processes,"" said PIH General Deputy Assistant Secretary Dominique Blom. NSPIRE components will fuse data and information from a large number of sources to determine areas to reduce risk and provides that information to decision makers and stakeholders so that they can take timely action to improve the conditions of the properties.
With NSPIRE, HUD's approach embraces a responsive model for program administration. The NSPIRE rule introduces an innovative and robust framework to ensure NSPIRE remains responsive to changes in the housing industry, stakeholder needs, and advances in technology. The provisions in the rule lay out regular and repeated input from stakeholders, including technical experts, leading to updates at least once every three years —including opportunities for public comments.
In line with Secretary Carson's vision, this rule fortifies HUD's deep commitment to millions of families that rely on HUD to constantly improve the processes of assessing property conditions and to ensure tenants have healthy and habitable homes. This responsive model would place the most focus on residents, their safety, and their units. It stresses the importance of eliminating safety and health hazards from homes and enhances the reliability of our assessments. The NSPIRE people-first approach encourages stronger communication and collaboration between residents and owners through regular and consistent feedback for significant improvements now and far into the future.
HUD seeks public comment on all aspects of the proposed rule. To be considered, comments should be submitted in accordance with guidance published in the Federal Register notice. The Proposed Rule is available for review and feedback at https://www.federalregister.gov/documents/2021/01/13/2021-00098/economic-growth-regulatory-relief-and-consumer-protection-act-implementation-of-national-standards. It is open to comments until 03/15/2021."
01/19/2021:,https://archives.hud.gov//news/2021/pr21-007.cfm,HUD Awards $4.4 Million for Carbon Monoxide Detectors in Public Housing,"WASHINGTON - U.S. Housing and Urban Development (HUD) Secretary, Ben Carson today awarded an additional $4.4 million under the Capital Fund Emergency Safety and Security Program to 58 public housing agencies (PHA) for the purchase and installation of carbon monoxide (CO) detectors in public housing units where they are necessary. This is in addition to the $5 million already awarded to 59 PHAs for carbon monoxide detectors in March 2020. In less than one year, HUD has awarded a total $9.4 in Capital Fund Emergency Safety and Security Program funding to 117 PHAs for the purchase and installation of carbon monoxide detectors.
""Since I started at HUD, we have been committed to ensuring the health and wellbeing of all Americans living in public housing,"" said HUD Secretary Ben Carson. ""The threat of carbon monoxide poisoning can be effectively eliminated by the installation of a CO detector. These grants will enable public housing agencies across the country to install CO detectors and keep our neighbors safe.""
HUD added the purchase and installation of carbon monoxide detectors as an eligible cost under the Capital Fund Emergency Safety and Security Program in FY 2019, recognizing the need for specific funding for this purpose. Carbon monoxide is a byproduct of fuel-fired combustion appliances, such as furnaces and water heaters. If not properly vented, this undetectable gas can be dangerous and even deadly.
The following public housing authorities will receive grant awards in January 2021. Read individual project descriptions."
01/21/2021:,https://archives.hud.gov//news/2021/pr21-008.cfm,Biden Administration Authorizes Extension of Federal Housing Administration Single Family Foreclosure and Eviction Moratorium,"WASHINGTON - Yesterday, the Biden Administration requested the U.S. Department of Housing and Urban Development and other Federal Agencies to extend its foreclosure and eviction moratorium for single family mortgages insured by the Federal Housing Administration (FHA) or guaranteed by the Office of Native American Programs' Section 184 and 184A loan guarantee programs through March 31, 2021. Today, HUD executed one of the first Administration actions to provide meaningful support to the nation's individuals and families who are struggling to make their mortgage payments due to the financial devastation caused by the COVID-19 pandemic.
""As President Biden promised, his new Administration is quickly addressing the widespread needs of a nation that is in urgent need of meaningful assistance to begin combatting the effects of COVID-19,"" said Acting Federal Housing Commissioner Janet Golrick. ""Immediately safeguarding borrowers with HUD-insured or guaranteed mortgages is an important first step in tackling larger, systemic housing challenges that must be overcome.""
The moratorium prohibits servicers from initiating or proceeding with foreclosure and foreclosure-related eviction actions for HUD insured or guaranteed single family forward and reverse mortgages, except for those secured by legally vacant and abandoned properties. Further, HUD requires mortgage servicers to provide up to six months of COVID-19 forbearance when a borrower experiencing a financial hardship due to COVID-19 requests this assistance, and up to an additional six months of COVID-19 forbearance for a borrower who requests an extension of the initial forbearance.
HUD encourages borrowers with HUD-insured or guaranteed mortgages who can make their mortgage payments to continue to do so. Those who are struggling financially because of COVID-19 should engage with their mortgage servicer – the entity to which they make their monthly mortgage payments. HUD provides post-COVID-19 forbearance loss mitigation options to assist borrowers with bringing their mortgage current.
Borrowers with FHA-insured mortgages seeking additional information on available options should visit FHA's COVID-19 Resources for Homeowners web page on FHA.gov. Borrowers with mortgages guaranteed under the Section 184 or Section 184A programs seeking additional information on available options should visit HUD's COVID-19 Resources for Native Americans web page. Other borrowers are encouraged to visit the Consumer Financial Protection Bureau's Coronavirus Mortgage and Housing Assistance (www.consumerfinance.gov/coronavirus/mortgage-and-housing-assistance/) web pages."
01/21/2021:,https://archives.hud.gov//news/2021/pr21-009.cfm,Acting HUD Secretary Announces Extension of Eviction and Foreclosure Moratoriums,"Acting U.S. Housing and Urban Development (HUD) Secretary Matthew E. Ammon today announced that the Department has implemented President Biden's requests to immediately extend eviction and foreclosure moratoriums on federally-backed single family mortgages through March 31, 2021, to provide meaningful support to homeowners struggling financially as a result of the COVID-19 pandemic:
""President Biden asked the Department of Housing and Urban Development (HUD) to consider an immediate extension of eviction and foreclosure moratoriums on federally-backed single family mortgages. In order to provide much-needed economic relief and support to working families, HUD has implemented the President's requests.
""Millions of Americans are at risk of eviction or foreclosure because of the COVID-19 pandemic and corresponding economic crisis, and the Biden Administration is pursuing a comprehensive strategy to prevent widespread housing loss. As we have seen throughout the pandemic, this looming wave of evictions and foreclosures disproportionately impacts communities of color. These executive actions are a critical first step to ensure that families hit hard by the economic crisis will not be forced from their homes during their time of need.
""Specifically, HUD has extended the Federal Housing Administration (FHA) eviction and foreclosure moratorium until March 31, 2021 and extended the Public and Indian Housing (PIH) eviction and foreclosure moratorium until March 31, 2021.
""Failing to prevent widespread evictions and foreclosures would lead to untold hardship for families and to overwhelmed emergency shelter capacity, increasing the likelihood of COVID-19 spread in our communities. The Biden Administration is committed to using the tools at its disposal and to working with Congress to help struggling households keep a roof over their heads. These agency actions support the Administration's broader strategy by immediately extending nationwide restrictions on evictions and foreclosures."""
01/26/2021:,https://archives.hud.gov//news/2021/pr21-010.cfm,Statement by HUD Chief of Staff Jenn Jones on New Leadership Appointees,"""These last four years have tested our faith in our government, our democracy and at times, our humanity. This experienced team is hard at work alongside fellow career staff to rebuild the department and to increase equitable access to housing for millions of families. With their vast expertise and knowledge and their unwavering commitment to serving the American people, this team will play a vital role in the Biden Administration’s ambitious agenda to build back better.""
Jones announced the following leadership appointees:
Office of the Secretary Chief of Staff: Jenn Jones White House Liaison: Analysse Escobar Senior Advisor - Rental Assistance: Peggy Bailey Senior Advisor - Budget, Policy and Programs: Joe Carlile Senior Advisor - Housing Finance: Alanna McCargo Senior Advisor - Housing and Services: Richard Cho Executive Assistant to the Secretary: Imani Edwards Office of General Counsel (OGC) Principal Deputy General Counsel: Damon Smith Deputy General Counsel for Enforcement: Sasha Samberg-Champion Senior Counsel: Elly Kugler Office of Public Affairs (OPA) Deputy Assistant Secretary for Public Affairs: Michael Burns Deputy Assistant Secretary for Public Engagement: Anne Brewer Press Secretary: Meaghan Lynch Office of Congressional and Intergovernmental Relations (CIR) Deputy Assistant Secretary for Congressional Relations: Sarah Brundage Congressional Relations Specialist: Sahian Valladares Office of Administration (OA) Director of Advance: Ronald Carson Office of Policy, Development and Research (PD&R) Deputy Assistant Secretary for Policy Development: Ben Winter Special Advisor to Assistant Secretary: Aaron Shroyer Federal Housing Administration/Office of Housing (FHA/Housing) Special Assistant: Will Innes Office of Public and Indian Housing (PIH) Special Assistant: Stephen Lucas Office of Community, Planning and Development (CPD) Principal Deputy Assistant Secretary: Arthur Jemison Deputy Assistant Secretary for Grant Programs: Kevin Bush Deputy Assistant Secretary for Economic Development: Robin Keegan Office of Fair Housing and Equal Opportunity (FHEO) Special Policy Advisor: Chang Chiu"
